Loading checkpoint shards: 100%|████████████████████████████████████████| 4/4 [00:00<00:00, 10.65it/s]
{'trainable_params': 41882625, 'total_params': 7657499137, 'trainable_ratio': 0.0054694913118081626}
itds:   4%|█▏                              | 160/4262 [05:24<2:19:34,  2.04s/it, loss=40.83, reward=1]
{'step': 165, 'loss': 114.33796691894531, 'reward_mean': 0.875, 'log_pi_mean': -63.42696762084961, 'log_ref_mean': -24.02828598022461, 'kl_mean': -39.398681640625, 'valid_tokens_mean': 7.75, 'advantage_mean': 8.02159595489502, 'advantage_std': 5.334564685821533, 'num_tokens': 62.0, 'policy_loss': 67.93617248535156, 'value_loss': 92.80358123779297, 'token_reward_mean': 2.654754161834717, 'return_mean': 14.923359870910645, 'grad_norm': 1765.327880859375, 'learning_rate': 5e-06}
{'step': 170, 'loss': 76.38485717773438, 'reward_mean': 0.8333333730697632, 'log_pi_mean': -34.62763977050781, 'log_ref_mean': -13.836280822753906, 'kl_mean': -20.79135513305664, 'valid_tokens_mean': 2.8333334922790527, 'advantage_mean': 4.960981369018555, 'advantage_std': 2.765958070755005, 'num_tokens': 17.0, 'policy_loss': 60.25392150878906, 'value_loss': 32.261863708496094, 'token_reward_mean': 3.9631800651550293, 'return_mean': 10.575496673583984, 'grad_norm': 1712.367919921875, 'learning_rate': 5e-06}
{'step': 175, 'loss': -29.429351806640625, 'reward_mean': 0.8571429252624512, 'log_pi_mean': -11.365513801574707, 'log_ref_mean': -7.473125457763672, 'kl_mean': -3.892388105392456, 'valid_tokens_mean': 1.1428571939468384, 'advantage_mean': -3.968160629272461, 'advantage_std': 1.1854583024978638, 'num_tokens': 8.0, 'policy_loss': -38.005157470703125, 'value_loss': 17.151611328125, 'token_reward_mean': 2.4529199600219727, 'return_mean': 2.7189559936523438, 'grad_norm': 1325.2716064453125, 'learning_rate': 5e-06}
{'step': 180, 'loss': 206.65042114257812, 'reward_mean': 0.0, 'log_pi_mean': -38.76082229614258, 'log_ref_mean': -9.767017364501953, 'kl_mean': -28.99380874633789, 'valid_tokens_mean': 5.0, 'advantage_mean': 8.4492769241333, 'advantage_std': 15.290933609008789, 'num_tokens': 25.0, 'policy_loss': 54.04896926879883, 'value_loss': 305.2029113769531, 'token_reward_mean': 2.899380683898926, 'return_mean': 18.45859146118164, 'grad_norm': 4956.13427734375, 'learning_rate': 5e-06}
{'step': 185, 'loss': 27.46813201904297, 'reward_mean': 0.5, 'log_pi_mean': -23.006145477294922, 'log_ref_mean': -7.733280181884766, 'kl_mean': -15.272865295410156, 'valid_tokens_mean': 2.0, 'advantage_mean': 1.8859466314315796, 'advantage_std': 2.3679771423339844, 'num_tokens': 16.0, 'policy_loss': 22.886075973510742, 'value_loss': 9.164112091064453, 'token_reward_mean': 4.068216323852539, 'return_mean': 7.451456546783447, 'grad_norm': 16223.7001953125, 'learning_rate': 5e-06}
{'step': 190, 'loss': -2.2604620456695557, 'reward_mean': 0.875, 'log_pi_mean': -12.271322250366211, 'log_ref_mean': -2.373185396194458, 'kl_mean': -9.898137092590332, 'valid_tokens_mean': 1.0, 'advantage_mean': -0.2198655605316162, 'advantage_std': 0.7571479678153992, 'num_tokens': 8.0, 'policy_loss': -2.5712690353393555, 'value_loss': 0.6216138005256653, 'token_reward_mean': 5.824068546295166, 'return_mean': 5.824068546295166, 'grad_norm': 458.1847229003906, 'learning_rate': 5e-06}
{'step': 195, 'loss': 28.96565818786621, 'reward_mean': 0.0, 'log_pi_mean': -36.20271301269531, 'log_ref_mean': -12.62524700164795, 'kl_mean': -23.57746124267578, 'valid_tokens_mean': 4.1666669845581055, 'advantage_mean': 0.10137443244457245, 'advantage_std': 7.544172763824463, 'num_tokens': 25.0, 'policy_loss': 0.5032519698143005, 'value_loss': 56.92481231689453, 'token_reward_mean': 2.8292956352233887, 'return_mean': 10.956181526184082, 'grad_norm': 735.3241577148438, 'learning_rate': 5e-06}
{'step': 200, 'loss': -13.561563491821289, 'reward_mean': 0.875, 'log_pi_mean': -7.5441670417785645, 'log_ref_mean': -2.154331684112549, 'kl_mean': -5.389835357666016, 'valid_tokens_mean': 1.125, 'advantage_mean': -2.918731212615967, 'advantage_std': 0.9699841737747192, 'num_tokens': 9.0, 'policy_loss': -18.291494369506836, 'value_loss': 9.459861755371094, 'token_reward_mean': 3.17326021194458, 'return_mean': 3.690274238586426, 'grad_norm': 892.8768920898438, 'learning_rate': 5e-06}
{'step': 205, 'loss': 3.002516746520996, 'reward_mean': 0.875, 'log_pi_mean': -31.119083404541016, 'log_ref_mean': -14.324542999267578, 'kl_mean': -16.794540405273438, 'valid_tokens_mean': 6.625, 'advantage_mean': -2.3461694717407227, 'advantage_std': 4.137094497680664, 'num_tokens': 53.0, 'policy_loss': -8.307514190673828, 'value_loss': 22.62006187438965, 'token_reward_mean': 1.3995879888534546, 'return_mean': 7.095733165740967, 'grad_norm': 725.0096435546875, 'learning_rate': 5e-06}
{'step': 210, 'loss': 6.178415298461914, 'reward_mean': 0.25, 'log_pi_mean': -19.171667098999023, 'log_ref_mean': -6.019861221313477, 'kl_mean': -13.151805877685547, 'valid_tokens_mean': 2.125, 'advantage_mean': -2.0277884006500244, 'advantage_std': 3.3651721477508545, 'num_tokens': 17.0, 'policy_loss': -1.5397394895553589, 'value_loss': 15.436309814453125, 'token_reward_mean': 3.2121896743774414, 'return_mean': 4.547148704528809, 'grad_norm': 541.6967163085938, 'learning_rate': 5e-06}
{'step': 215, 'loss': 26.771799087524414, 'reward_mean': 1.0, 'log_pi_mean': -35.00343322753906, 'log_ref_mean': -8.408515930175781, 'kl_mean': -26.59491729736328, 'valid_tokens_mean': 4.0, 'advantage_mean': 0.13572168350219727, 'advantage_std': 4.57774019241333, 'num_tokens': 32.0, 'policy_loss': 16.28473663330078, 'value_loss': 20.974124908447266, 'token_reward_mean': 3.57436466217041, 'return_mean': 8.519472122192383, 'grad_norm': 826.3080444335938, 'learning_rate': 5e-06}
{'step': 220, 'loss': 15.673864364624023, 'reward_mean': 0.875, 'log_pi_mean': -14.761524200439453, 'log_ref_mean': -4.792403221130371, 'kl_mean': -9.969120025634766, 'valid_tokens_mean': 6.125, 'advantage_mean': -5.9774017333984375, 'advantage_std': 3.2125582695007324, 'num_tokens': 49.0, 'policy_loss': -7.351066589355469, 'value_loss': 46.049861907958984, 'token_reward_mean': 0.9566628932952881, 'return_mean': 5.395392417907715, 'grad_norm': 1488.0093994140625, 'learning_rate': 5e-06}
{'step': 225, 'loss': -55.20771789550781, 'reward_mean': 1.0, 'log_pi_mean': -13.041625022888184, 'log_ref_mean': -7.234212398529053, 'kl_mean': -5.807412624359131, 'valid_tokens_mean': 1.0, 'advantage_mean': -5.317083358764648, 'advantage_std': 0.0, 'num_tokens': 8.0, 'policy_loss': -69.3434066772461, 'value_loss': 28.27137565612793, 'token_reward_mean': 3.9037063121795654, 'return_mean': 3.9037063121795654, 'grad_norm': 2394.56591796875, 'learning_rate': 5e-06}
{'step': 230, 'loss': 195.3570556640625, 'reward_mean': 0.0, 'log_pi_mean': -35.352901458740234, 'log_ref_mean': -10.654021263122559, 'kl_mean': -24.698881149291992, 'valid_tokens_mean': 3.0, 'advantage_mean': 7.983193397521973, 'advantage_std': 11.399455070495605, 'num_tokens': 15.0, 'policy_loss': 98.5175552368164, 'value_loss': 193.67898559570312, 'token_reward_mean': 4.116480350494385, 'return_mean': 14.65104866027832, 'grad_norm': 1152.7119140625, 'learning_rate': 5e-06}
