Loading checkpoint shards: 100%|████████████████████████████████████████| 4/4 [00:00<00:00, 10.69it/s]
{'trainable_params': 41882625, 'total_params': 7657499137, 'trainable_ratio': 0.0054694913118081626}
itds:   4%|█▏                              | 160/4262 [05:25<2:18:11,  2.02s/it, loss=299.5, reward=1]
{'step': 200, 'loss': -8.87255859375, 'reward_mean': 0.875, 'log_pi_mean': -11.073421478271484, 'log_ref_mean': -2.154331684112549, 'kl_mean': -8.919089317321777, 'valid_tokens_mean': 1.125, 'advantage_mean': -9.629648208618164, 'advantage_std': 1.7046693563461304, 'policy_loss': -56.69056701660156, 'value_loss': 95.63601684570312, 'grad_norm': 11233.41796875, 'learning_rate': 5e-05}
{'step': 205, 'loss': 714.47802734375, 'reward_mean': 0.875, 'log_pi_mean': -193.25111389160156, 'log_ref_mean': -14.324542999267578, 'kl_mean': -178.92657470703125, 'valid_tokens_mean': 6.625, 'advantage_mean': 3.408897876739502, 'advantage_std': 1.2594259977340698, 'policy_loss': 707.8746337890625, 'value_loss': 13.206738471984863, 'grad_norm': 97597.8125, 'learning_rate': 5e-05}
{'step': 210, 'loss': 439.7967224121094, 'reward_mean': 0.25, 'log_pi_mean': -94.53768157958984, 'log_ref_mean': -6.019861221313477, 'kl_mean': -88.517822265625, 'valid_tokens_mean': 2.125, 'advantage_mean': 2.076397657394409, 'advantage_std': 3.9322805404663086, 'policy_loss': 429.90960693359375, 'value_loss': 19.774259567260742, 'grad_norm': 242209.90625, 'learning_rate': 5e-05}
{'step': 215, 'loss': 1961.3826904296875, 'reward_mean': 1.0, 'log_pi_mean': -207.87582397460938, 'log_ref_mean': -8.408515930175781, 'kl_mean': -199.46731567382812, 'valid_tokens_mean': 4.0, 'advantage_mean': 9.230425834655762, 'advantage_std': 0.0, 'policy_loss': 1918.7823486328125, 'value_loss': 85.20075988769531, 'grad_norm': 82792.7265625, 'learning_rate': 5e-05}
{'step': 220, 'loss': 593.7662353515625, 'reward_mean': 0.875, 'log_pi_mean': -215.00439453125, 'log_ref_mean': -4.792403221130371, 'kl_mean': -210.21200561523438, 'valid_tokens_mean': 6.125, 'advantage_mean': 2.0438501834869385, 'advantage_std': 3.681610107421875, 'policy_loss': 584.9004516601562, 'value_loss': 17.731576919555664, 'grad_norm': 21746.603515625, 'learning_rate': 5e-05}
{'step': 225, 'loss': -94.14762115478516, 'reward_mean': 1.0, 'log_pi_mean': -42.57582473754883, 'log_ref_mean': -7.234212398529053, 'kl_mean': -35.34161376953125, 'valid_tokens_mean': 1.0, 'advantage_mean': -2.271909236907959, 'advantage_std': 0.0, 'policy_loss': -96.72840881347656, 'value_loss': 5.161571502685547, 'grad_norm': 21873.6171875, 'learning_rate': 5e-05}
{'step': 230, 'loss': 7747.888671875, 'reward_mean': 0.0, 'log_pi_mean': -247.15000915527344, 'log_ref_mean': -10.654021263122559, 'kl_mean': -236.4959716796875, 'valid_tokens_mean': 3.0, 'advantage_mean': 14.718829154968262, 'advantage_std': 18.432235717773438, 'policy_loss': 7469.69287109375, 'value_loss': 556.3912963867188, 'grad_norm': 366859.3125, 'learning_rate': 5e-05}
{'step': 235, 'loss': 7323.48291015625, 'reward_mean': 1.0, 'log_pi_mean': -316.8918151855469, 'log_ref_mean': -12.446223258972168, 'kl_mean': -304.44561767578125, 'valid_tokens_mean': 3.000000238418579, 'advantage_mean': 22.32402801513672, 'advantage_std': 0.0, 'policy_loss': 7074.3017578125, 'value_loss': 498.3621826171875, 'grad_norm': 261345.703125, 'learning_rate': 5e-05}
{'step': 240, 'loss': 66.41238403320312, 'reward_mean': 0.75, 'log_pi_mean': -15.130380630493164, 'log_ref_mean': -7.406176567077637, 'kl_mean': -7.724204063415527, 'valid_tokens_mean': 1.0, 'advantage_mean': -3.065248966217041, 'advantage_std': 3.33024263381958, 'policy_loss': 56.169246673583984, 'value_loss': 20.48626708984375, 'grad_norm': 31510.119140625, 'learning_rate': 5e-05}
{'step': 245, 'loss': 1028.5074462890625, 'reward_mean': 0.0, 'log_pi_mean': -118.2953109741211, 'log_ref_mean': -6.479494571685791, 'kl_mean': -111.8158187866211, 'valid_tokens_mean': 1.0, 'advantage_mean': 5.515529632568359, 'advantage_std': 5.814765930175781, 'policy_loss': 996.39111328125, 'value_loss': 64.2325668334961, 'grad_norm': 44656.0, 'learning_rate': 5e-05}
{'step': 250, 'loss': 0.0, 'reward_mean': 0.0, 'log_pi_mean': 0.0, 'log_ref_mean': 0.0, 'kl_mean': 0.0, 'valid_tokens_mean': 0.0, 'advantage_mean': 0.0, 'advantage_std': 0.0, 'policy_loss': -0.0, 'value_loss': 0.0, 'grad_norm': 15296.6572265625, 'learning_rate': 5e-05}
{'step': 255, 'loss': 2694.47900390625, 'reward_mean': 0.0, 'log_pi_mean': -129.44284057617188, 'log_ref_mean': -7.397360801696777, 'kl_mean': -122.04548645019531, 'valid_tokens_mean': 2.0, 'advantage_mean': 10.765946388244629, 'advantage_std': 9.703371047973633, 'policy_loss': 2589.448486328125, 'value_loss': 210.06100463867188, 'grad_norm': 77041.9765625, 'learning_rate': 5e-05}
{'step': 260, 'loss': 635.4908447265625, 'reward_mean': 0.875, 'log_pi_mean': -79.30879211425781, 'log_ref_mean': -7.6742844581604, 'kl_mean': -71.63450622558594, 'valid_tokens_mean': 1.0, 'advantage_mean': 6.687896728515625, 'advantage_std': 2.933516025543213, 'policy_loss': 608.8240966796875, 'value_loss': 53.33348083496094, 'grad_norm': 34147.56640625, 'learning_rate': 5e-05}
{'step': 265, 'loss': 6637.9599609375, 'reward_mean': 1.0, 'log_pi_mean': -343.99627685546875, 'log_ref_mean': -29.042076110839844, 'kl_mean': -314.9541931152344, 'valid_tokens_mean': 9.0, 'advantage_mean': 18.783763885498047, 'advantage_std': 0.0, 'policy_loss': 6461.544921875, 'value_loss': 352.82977294921875, 'grad_norm': 224225.921875, 'learning_rate': 5e-05}
{'step': 270, 'loss': 540.30029296875, 'reward_mean': 0.0, 'log_pi_mean': -92.46331787109375, 'log_ref_mean': -8.47500228881836, 'kl_mean': -83.98831176757812, 'valid_tokens_mean': 1.875, 'advantage_mean': 0.40350544452667236, 'advantage_std': 6.352977752685547, 'policy_loss': 520.0386962890625, 'value_loss': 40.52313995361328, 'grad_norm': 19631.4140625, 'learning_rate': 5e-05}
{'step': 275, 'loss': 2843.635498046875, 'reward_mean': 0.25, 'log_pi_mean': -205.80264282226562, 'log_ref_mean': -8.678792953491211, 'kl_mean': -197.1238555908203, 'valid_tokens_mean': 4.5, 'advantage_mean': 10.473562240600586, 'advantage_std': 6.686941623687744, 'policy_loss': 2766.43017578125, 'value_loss': 154.41070556640625, 'grad_norm': 312171.40625, 'learning_rate': 5e-05}
{'step': 280, 'loss': 6590.26025390625, 'reward_mean': 1.0, 'log_pi_mean': -288.32952880859375, 'log_ref_mean': -13.104535102844238, 'kl_mean': -275.2250061035156, 'valid_tokens_mean': 3.0, 'advantage_mean': 22.016145706176758, 'advantage_std': 0.0, 'policy_loss': 6347.90478515625, 'value_loss': 484.7106628417969, 'grad_norm': 174192.859375, 'learning_rate': 5e-05}
{'step': 285, 'loss': 1256.9268798828125, 'reward_mean': 0.875, 'log_pi_mean': -174.4981689453125, 'log_ref_mean': -8.549055099487305, 'kl_mean': -165.9490966796875, 'valid_tokens_mean': 3.625, 'advantage_mean': 6.0451202392578125, 'advantage_std': 3.689103841781616, 'policy_loss': 1231.850341796875, 'value_loss': 50.1529655456543, 'grad_norm': 109152.0859375, 'learning_rate': 5e-05}
{'step': 290, 'loss': -472.9217224121094, 'reward_mean': 0.0, 'log_pi_mean': -107.46650695800781, 'log_ref_mean': -18.504169464111328, 'kl_mean': -88.96234130859375, 'valid_tokens_mean': 7.875, 'advantage_mean': -6.445338726043701, 'advantage_std': 5.305603981018066, 'policy_loss': -507.76763916015625, 'value_loss': 69.69181823730469, 'grad_norm': 61815.546875, 'learning_rate': 5e-05}
{'step': 295, 'loss': 549.5756225585938, 'reward_mean': 0.8333333730697632, 'log_pi_mean': -84.75830841064453, 'log_ref_mean': -7.9268622398376465, 'kl_mean': -76.83145141601562, 'valid_tokens_mean': 1.0, 'advantage_mean': 6.202491760253906, 'advantage_std': 0.8141523599624634, 'policy_loss': 530.0087280273438, 'value_loss': 39.13375473022461, 'grad_norm': 40253.28515625, 'learning_rate': 5e-05}
{'step': 300, 'loss': -416.4052429199219, 'reward_mean': 0.75, 'log_pi_mean': -64.76041412353516, 'log_ref_mean': -5.536096572875977, 'kl_mean': -59.22431945800781, 'valid_tokens_mean': 2.5, 'advantage_mean': -6.324854850769043, 'advantage_std': 1.3587238788604736, 'policy_loss': -437.3302001953125, 'value_loss': 41.84992218017578, 'grad_norm': 174114.578125, 'learning_rate': 5e-05}
{'step': 305, 'loss': 458.9351806640625, 'reward_mean': 1.0, 'log_pi_mean': -86.9964370727539, 'log_ref_mean': -7.921548843383789, 'kl_mean': -79.07489013671875, 'valid_tokens_mean': 1.0, 'advantage_mean': 5.1244096755981445, 'advantage_std': 0.0, 'policy_loss': 445.8053894042969, 'value_loss': 26.25957489013672, 'grad_norm': 30419.541015625, 'learning_rate': 5e-05}
{'step': 310, 'loss': -276.8194580078125, 'reward_mean': 1.0, 'log_pi_mean': -85.81450653076172, 'log_ref_mean': -3.5366463661193848, 'kl_mean': -82.27786254882812, 'valid_tokens_mean': 2.0, 'advantage_mean': -3.2888097763061523, 'advantage_std': 0.0, 'policy_loss': -282.22760009765625, 'value_loss': 10.816269874572754, 'grad_norm': 29191.845703125, 'learning_rate': 5e-05}
{'step': 315, 'loss': 4800.279296875, 'reward_mean': 0.875, 'log_pi_mean': -271.530517578125, 'log_ref_mean': -19.406749725341797, 'kl_mean': -252.12376403808594, 'valid_tokens_mean': 6.5, 'advantage_mean': 14.292106628417969, 'advantage_std': 7.98466682434082, 'policy_loss': 4666.26953125, 'value_loss': 268.01922607421875, 'grad_norm': 136239.875, 'learning_rate': 5e-05}
{'step': 320, 'loss': 3154.281005859375, 'reward_mean': 0.0, 'log_pi_mean': -128.58978271484375, 'log_ref_mean': -7.97650146484375, 'kl_mean': -120.61328125, 'valid_tokens_mean': 3.25, 'advantage_mean': 7.014439105987549, 'advantage_std': 14.414996147155762, 'policy_loss': 3025.78369140625, 'value_loss': 256.99444580078125, 'grad_norm': 468834.6875, 'learning_rate': 5e-05}
{'step': 325, 'loss': 0.00011756501771742478, 'reward_mean': 1.0, 'log_pi_mean': 0.0, 'log_ref_mean': -4.497470855712891, 'kl_mean': 4.497470855712891, 'valid_tokens_mean': 1.0, 'advantage_mean': 0.015333950519561768, 'advantage_std': 0.0, 'policy_loss': -0.0, 'value_loss': 0.00023513003543484956, 'grad_norm': 291522.46875, 'learning_rate': 5e-05}
{'step': 330, 'loss': 75.2276611328125, 'reward_mean': 0.0, 'log_pi_mean': -68.70884704589844, 'log_ref_mean': -11.826879501342773, 'kl_mean': -56.88196563720703, 'valid_tokens_mean': 2.0, 'advantage_mean': -2.399264097213745, 'advantage_std': 5.420441627502441, 'policy_loss': 57.658836364746094, 'value_loss': 35.137657165527344, 'grad_norm': 9835.90234375, 'learning_rate': 5e-05}
